"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2362","Пользователь не может выйти, если активной сессии нет","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.SessionLifecycleTests","com.nordcodes.api.tests.SessionLifecycleTests","logoutShouldReturnErrorWhenUserIsNotLoggedIn"
"","113","Пользователь может выполнить действие после успешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnOkWhenUserSuccessfullyLoggedIn"
"","67","Проверка разных вариантов невалидного токена 4. Запрос отклоняется, если токен невалиден: содержит символы вне допустимого диапазона","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","59","Проверка запросов с неверным ключом доступа 3. Запрос на выход пользователя отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","208","Пользователь не входит, если пытается передать токен, который уже существует в системе","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","secondLoginShouldReturnConflictWhenTokenAlreadyExists"
"","309","Запрос отклоняется, если передан неизвестный тип действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenActionIsUnknown"
"","87","Проверка разных вариантов невалидного токена 3. Запрос отклоняется, если токен невалиден: содержит строчные буквы","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","131","Пользователь не входит, если внешний сервис отклонил токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","loginShouldReturnErrorWhenExternalServiceRejectedLogin"
"","57","Проверка запросов с неверным ключом доступа 2. Запрос на выполнение действия отклоняется, если ключ доступа неверный","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsInvalid"
"","54","Проверка невалидного токена для разных действий 1. Запрос на вход пользователя отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
"","60","Проверка запросов без ключа доступа 3. Запрос на выход пользователя отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
"","188","Проверка разных вариантов невалидного токена 1. Запрос отклоняется, если токен невалиден: слишком короткий: 31 символ","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenHasInvalidFormat"
"","238","Пользователь не может выполнить действие после неуспешного входа","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.ActionTests","com.nordcodes.api.tests.ActionTests","actionShouldReturnErrorAfterFailedLogin"
"","344","Пользователь успешно входит, если внешний сервис подтвердил токен","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.LoginTests","com.nordcodes.api.tests.LoginTests","loginShouldReturnOkWhenExternalServiceConfirmedLogin"
"","61","Проверка запросов без ключа доступа 2. Запрос на выполнение действия отклоняется, если ключ доступа не передан","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenApiKeyIsMissing"
"","56","Запрос отклоняется, если не передан тип действия","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenActionIsMissing"
"","42","Проверка невалидного токена для разных действий 2. Запрос на выполнение действия отклоняется, если токен имеет неверный формат","","2026-07-01","passed","2026-07-01","","com.nordcodes.api.tests.EndpointValidationTests","com.nordcodes.api.tests.EndpointValidationTests","requestShouldReturnErrorWhenTokenIsInvalidForDifferentActions"
